bin_id,pgn,count,iat_count,jitter_count,sum_iat,max_iat,sum_jitter
1774597178,127488,20,20,20,269,80,533
1774597178,127493,20,20,20,269,79,457
1774597178,129025,17,17,17,280,80,372
1774597178,129026,5,5,5,269,100,164
1774597178,129029,2,2,2,270,250,461
1774597178,129539,1,1,1,270,270,9
1774597178,129540,1,1,1,260,260,20
1774597178,130306,4,4,4,261,120,189
1774597178,130310,2,2,2,261,151,73
1774597178,130311,2,2,2,269,179,167
1774597178,130312,1,1,1,481,481,421
1774597178,130314,1,1,1,481,481,422
1774597178,130316,1,1,1,549,549,1
1774597178,130323,1,1,1,261,261,18
1774597178,130577,1,1,1,260,260,20
1774597178,130578,4,4,4,269,109,166
1774597178,130843,10,10,10,270,80,181
1774597178,65280,27,27,27,729,81,561
1774597178,126992,9,9,9,791,219,1134
1774597178,127245,54,54,54,730,40,743
1774597178,127250,107,107,107,729,70,1087
1774597178,127251,30,30,30,731,81,535
1774597178,127252,27,27,27,730,72,517
1774597178,127257,27,27,27,729,79,611
1774597178,127258,27,27,27,730,80,558
1774597178,127488,54,54,54,730,72,1384
1774597178,127493,54,54,54,730,72,1301
1774597178,129025,42,42,42,710,79,941
1774597178,129026,14,14,14,730,100,536
1774597178,129029,6,6,6,790,249,1340
1774597178,129038,1,1,1,800,800,570
1774597178,129539,3,3,3,799,270,20
1774597178,129540,2,2,2,530,270,10
1774597178,130306,11,11,11,740,120,528
1774597178,130310,5,5,5,689,159,189
1774597178,130311,6,6,6,791,171,466
1774597178,130312,2,2,2,850,529,256
1774597178,130314,2,2,2,850,530,259
1774597178,130316,1,1,1,521,521,28
1774597178,130323,2,2,2,530,270,11
1774597178,130577,3,3,3,791,269,17
1774597178,130578,11,11,11,730,101,414
1774597178,130843,27,27,27,729,80,502
1774597179,65280,10,10,10,281,81,221
1774597179,126992,2,2,2,250,230,410
1774597179,127245,18,18,18,261,40,208
1774597179,127250,38,38,38,271,69,387
1774597179,127251,9,9,9,260,71,163
1774597179,127252,9,9,9,261,71,157
1774597179,127257,9,9,9,261,79,188
1774597179,127258,9,9,9,269,80,209
1774597179,127488,18,18,18,260,70,512
1774597179,127493,18,18,18,260,70,467
1774597179,129025,16,16,16,289,71,368
1774597179,129026,5,5,5,281,100,182
1774597179,129029,2,2,2,281,261,482
1774597179,129539,1,1,1,281,281,11
1774597179,129540,1,1,1,270,270,0
1774597179,129793,1,1,1,1751,1751,78
1774597179,130306,3,3,3,230,120,140
1774597179,130310,2,2,2,281,170,107
1774597179,130311,1,1,1,180,180,90
1774597179,130312,1,1,1,230,230,91
1774597179,130314,1,1,1,230,230,90
1774597179,130316,1,1,1,551,551,30
1774597179,130323,1,1,1,269,269,1
1774597179,130577,1,1,1,289,289,28
1774597179,130578,4,4,4,281,101,97
1774597179,130843,10,10,10,281,80,197
1774597179,65280,26,26,26,730,80,628
1774597179,126992,7,7,7,560,210,739
1774597179,127245,53,53,53,739,41,608
1774597179,127250,106,106,106,730,69,1166
1774597179,127251,30,30,30,740,80,587
1774597179,127252,27,27,27,740,80,576
1774597179,127257,27,27,27,740,79,615
1774597179,127258,26,26,26,721,80,552
1774597179,127488,53,53,53,740,78,1350
1774597179,127493,53,53,53,740,78,1254
1774597179,129025,41,41,41,721,79,942
1774597179,129026,12,12,12,650,109,497
1774597179,129029,4,4,4,539,250,918
1774597179,129038,1,1,1,869,869,69
1774597179,129039,1,1,1,7740,7740,7041
1774597179,129539,2,2,2,530,270,31
1774597179,129540,3,3,3,820,280,20
1774597179,130306,11,11,11,760,120,404
1774597179,130310,5,5,5,640,150,201
1774597179,130311,6,6,6,810,178,465
1774597179,130312,1,1,1,530,530,300
1774597179,130314,1,1,1,530,530,300
1774597179,130316,1,1,1,529,529,22
1774597179,130323,3,3,3,811,281,33
1774597179,130577,2,2,2,530,269,36
1774597179,130578,10,10,10,650,100,287
1774597179,130843,26,26,26,729,80,428
1774597180,65280,10,10,10,260,80,232
1774597180,126992,3,3,3,270,219,405
1774597180,127245,21,21,21,270,41,265
1774597180,127250,41,41,41,270,61,399
1774597180,127251,11,11,11,269,72,244
1774597180,127252,10,10,10,269,71,213
1774597180,127257,10,10,10,269,72,225
1774597180,127258,11,11,11,280,80,257
1774597180,127488,21,21,21,270,71,506
1774597180,127493,21,21,21,270,71,498
1774597180,129025,18,18,18,281,71,418
1774597180,129026,5,5,5,270,102,200
1774597180,129029,2,2,2,261,240,439
1774597180,129038,1,1,1,530,530,339
1774597180,129539,1,1,1,269,269,1
1774597180,129540,1,1,1,270,270,0
1774597180,130306,4,4,4,270,120,160
1774597180,130310,2,2,2,270,159,96
1774597180,130311,2,2,2,269,179,170
1774597180,130323,1,1,1,270,270,10
1774597180,130577,1,1,1,270,270,1
1774597180,130578,4,4,4,270,101,140
1774597180,130843,10,10,10,261,71,167
1774597180,65280,26,26,26,739,80,506
1774597180,126992,8,8,8,899,330,1358
1774597180,127245,51,51,51,729,50,466
1774597180,127250,104,104,104,730,61,1114
1774597180,127251,28,28,28,731,80,500
1774597180,127252,27,27,27,731,80,554
1774597180,127257,27,27,27,731,79,638
1774597180,127258,26,26,26,719,80,561
1774597180,127488,52,52,52,710,79,1292
1774597180,127493,53,53,53,730,79,1208
1774597180,129025,40,40,40,719,80,914
1774597180,129026,14,14,14,800,120,570
1774597180,129029,6,6,6,929,360,1577
1774597180,129038,2,2,2,660,620,670
1774597180,129539,3,3,3,921,390,257
1774597180,129540,2,2,2,650,390,140
1774597180,129793,1,1,1,1920,1920,169
1774597180,130306,10,10,10,690,119,398
1774597180,130310,5,5,5,810,270,402
1774597180,130311,5,5,5,651,179,328
1774597180,130312,3,3,3,1190,600,1014
1774597180,130314,3,3,3,1190,600,1046
1774597180,130316,2,2,2,1190,650,121
1774597180,130323,2,2,2,650,381,113
1774597180,130577,3,3,3,920,380,220
1774597180,130578,11,11,11,800,120,399
1774597180,130843,26,26,26,730,89,619
1774597181,65280,10,10,10,260,70,184
1774597181,126992,4,4,4,290,201,344
1774597181,127245,20,20,20,261,41,147
1774597181,127250,40,40,40,260,61,419
1774597181,127251,12,12,12,269,70,189
1774597181,127252,10,10,10,260,70,178
1774597181,127257,10,10,10,260,70,212
1774597181,127258,11,11,11,281,71,207
1774597181,127488,22,22,22,280,79,556
1774597181,127493,21,21,21,269,79,447
1774597181,129025,17,17,17,280,70,321
1774597181,129026,5,5,5,260,100,219
1774597181,129029,2,2,2,260,240,440
1774597181,129539,1,1,1,269,269,1
1774597181,129540,1,1,1,270,270,120
1774597181,130306,5,5,5,320,111,157
1774597181,130310,2,2,2,260,150,81
1774597181,130311,3,3,3,359,170,222
1774597181,130312,1,1,1,320,320,280
1774597181,130314,1,1,1,320,320,280
1774597181,130323,2,2,2,530,270,121
1774597181,130577,1,1,1,261,261,9
1774597181,130578,4,4,4,260,99,143
1774597181,130843,10,10,10,260,70,149
1774597181,65280,25,25,25,741,82,512
1774597181,126992,6,6,6,551,230,771
1774597181,127245,50,50,50,709,51,442
1774597181,127250,100,100,100,742,70,1128
1774597181,127251,27,27,27,731,81,623
1774597181,127252,25,25,25,740,81,558
1774597181,127257,25,25,25,741,78,542
1774597181,127258,25,25,25,732,79,438
1774597181,127488,50,50,50,741,79,1466
1774597181,127493,50,50,50,732,79,1387
1774597181,129025,39,39,39,660,80,842
1774597181,129026,12,12,12,689,109,509
1774597181,129029,4,4,4,560,269,956
1774597181,129038,1,1,1,990,990,950
1774597181,129539,2,2,2,551,281,12
1774597181,129540,3,3,3,820,280,30
1774597181,129793,2,2,2,899,550,1772
1774597181,130306,10,10,10,732,120,382
1774597181,130310,5,5,5,670,160,200
1774597181,130311,5,5,5,733,190,444
1774597181,130312,1,1,1,219,219,101
1774597181,130314,1,1,1,220,220,100
1774597181,130316,1,1,1,540,540,110
1774597181,130323,2,2,2,560,289,47
1774597181,130577,2,2,2,559,280,19
1774597181,130578,10,10,10,689,109,349
1774597181,130843,25,25,25,680,79,467
1774597182,65280,10,10,10,269,79,235
1774597182,126992,3,3,3,279,220,390
1774597182,127245,20,20,20,260,41,160
1774597182,127250,41,41,41,270,61,391
1774597182,127251,11,11,11,270,80,212
1774597182,127252,10,10,10,270,80,204
1774597182,127257,10,10,10,270,80,227
1774597182,127258,10,10,10,270,80,196
1774597182,127488,20,20,20,269,79,458
1774597182,127493,20,20,20,270,79,417
1774597182,129025,17,17,17,342,79,453
1774597182,129026,5,5,5,262,100,207
1774597182,129029,2,2,2,270,251,463
1774597182,129539,1,1,1,270,270,11
1774597182,129540,1,1,1,270,270,10
1774597182,130306,4,4,4,269,112,147
1774597182,130310,2,2,2,270,160,100
1774597182,130311,2,2,2,269,171,148
1774597182,130312,1,1,1,551,551,332
1774597182,130314,1,1,1,551,551,331
1774597182,130316,1,1,1,559,559,19
1774597182,130323,1,1,1,270,270,1
1774597182,130577,1,1,1,280,280,0
